Date/Time,Media Description,Media Link
"You uploaded a photo on July 11, 2025 at 3:52 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5621AQG2rr2AxDB4Tg/plfm-displayapplogo-shrink_800_800/B56Zf6MFtIHUAU-/0/1752249163053?e=1752858000&v=beta&t=0K6ziloco7Tap58-fk1GqwqZZtSMpPK5EstlZXpdBLE
"You uploaded a feed photo on February 28, 2024 at 1:44 PM (GMT)","Delighted to announce a milestone: 3000 followers and connections on LinkedIn! 


Thank you all for connecting and engaging with me on this professional journey. Let's continue to grow together! #networking #gratitude #growth #linkedin #linkedininsights #linkedincommunity ",https://media.licdn.com/dms/image/v2/D5622AQGMSYZleFEQrg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1709127875675?e=2147483647&v=beta&t=BrEPiNUi4sFeLZuOjaYxClWsWU1DUSdjJUSS1LKXEAs
"You uploaded a feed photo on February 24, 2024 at 12:32 PM (GMT)","Exciting Update! 

Thrilled to announce my completion of 40+ hours of JavaScript Essentials Certification from NxtWave! Grateful for the knowledge gained and excited to apply it to future projects. Onward and upward!

#fullstackdevelopment #javascript #consistentprogress #ccbpacademy #certificationcomplete #html #css #javascript #bootstrap #python #rahulattulurisir #nxtwave #nxtwave  #careergrowth ",https://media.licdn.com/dms/image/v2/D5622AQFh5nYKgw3cBQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1708777966887?e=2147483647&v=beta&t=3Nbv-uLUt1ZLsHYusODxGzowvNVofP1l9eVcfLpqnmo
"You uploaded a photo on February 22, 2024 at 2:22 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQHiH-4lRD0H9Q/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1708611744237?e=2147483647&v=beta&t=Pnc8atFGQIrWSz5ib6piyfwm4DFdiaAp8BzLNgBJNZg
"You uploaded a feed photo on February 4, 2024 at 12:56 PM (GMT)","Heyyy Fellows! 


Exciting news! I recently participated in a Data Analysis mega workshop led by the amazing Avinash Dara. The hands-on experience was fantastic, and I'm thrilled to share my Power BI Dashboard project with you all!

Check out the link below and feel free to share your thoughts or suggestions for any possible improvements:
Link to My Project: 
https://lnkd.in/gKbjwuDS
Looking forward to hearing your feedback!

Feel free to take a look

I would like to thank NxtWave , Rahul Attuluri, Avinash Dara sir for organizing such a wonderful session.

#nxtwaveccbp?#workshopexperience?#handsonexperience?#dataanalytics
",
"You uploaded a feed photo on February 4, 2024 at 12:56 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG4ZzK2ji2o2A/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1707051412808?e=2147483647&v=beta&t=HJmpLcrCK121guj3qnNce1z0-s70dlvsdnYfAh4uRf4
"You uploaded a feed photo on February 4, 2024 at 12:56 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFjq_n04ziWrw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1707051391524?e=2147483647&v=beta&t=uBPm5H2g0-YCXNvksSwUZOpSxEFonkE5s6XOtUxfJnE
"You uploaded a photo on February 4, 2024 at 12:37 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQEEnuwI3TcFOw/profile-treasury-image-shrink_800_800/profile-treasury-image-shrink_800_800/0/1707050251185?e=2147483647&v=beta&t=zOmdmwXlUgSGL--6em9PG5ZSNCtJ9I6yq795mt2fF-I
"You uploaded a feed photo on December 30, 2023 at 7:32 PM (GMT)","I'm still alive??

This is what I felt while posting after 3 months!!
I have a favour/request for my readers at the end of my post please read it!

Hey, fam! Advance Happy New Year #2024!
This year has been a whirlwind of growth, not just in technical prowess but also in life lessons. Amidst challenges, I've seized several opportunities that have broadened my horizons:

Taking on the role of Vice President at UNYC LPU, where I had the privilege of leading and learning from a team of 80 exceptional individuals.

Diving into data visualisation and analysis, particularly exploring music datasets?a fascinating blend of technology and the world of music.

Acquiring fresh certifications in the full-stack domain underscores my commitment to staying abreast of technological advancements.

Engaging in my maiden hackathon experience, courtesy of Lovely Professional University?an event that both challenged and inspired me.
Collaborating on my inaugural full-stack project alongside Jaswanth Singh Kumar Lankadasu, LANKADASU NAGA VENKATA YASWANTH, Satya Reddy and an outstanding team. It was a journey not just in creation but also in refining it into a robust, impactful product.

And this is merely a glimpse!

NxtWave's tech skills report stands as a testament to my dedication?a rewarding 100 days of coding, solving over 600 problems, with a learning time totalling 11,326 minutes and maintaining a streak of 28 days.

My heartfelt gratitude goes out to Rahul Attuluri, Jaswanth Singh Kumar Lankadasu, LANKADASU NAGA VENKATA YASWANTH, Kantheti Venkata Sahil, and other remarkable individuals. Their unwavering support, collaborative spirit, and mentorship have been invaluable throughout this transformative journey.

Request:
I've recently developed a keen interest in advancing my skills in line with research in quantum computing. If any of my connections know someone skilled in quantum computing who could offer guidance, I would greatly appreciate being connected with them.

Any resources related to quantum computing that anyone could share in the comments section would be immensely appreciated! Thank you in advance for any guidance or materials you can provide.

Thanks a lot!

#NxtWaveImpact2023 #nxtwave  #ccbp  #quantumcomputing #guidance #fullstackdeveloper #lovelyprofessionaluniversity #rahulattulurisir #dataanalysis #hackathon #continuouslearning #techcommunity #skilldevelopment #stem #researchjourney ",https://media.licdn.com/dms/image/v2/D5622AQFPWOX-hFTFTw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1703964735377?e=2147483647&v=beta&t=APWm6gX5txJ5xwl5xrT0mB_3gk11AVaVN8GobSQXf3U
"You uploaded a feed photo on September 29, 2023 at 12:10 PM (GMT)","Hello Everyone!

I'm thrilled to share my recent experience at the Gear Up Season 2 hackathon, a gateway event for the Smart India Hackathon 2023, hosted by Lovely Professional University.

Over the course of 36 intense hours, my team and I successfully developed and deployes a fully dynamic website complete with a sequential chatbot. Additionally, we deployed an NLP model using a decision tree algorithm tailored to our specific problem statement. Gathering relevant data proved to be a challenge, but we overcame it by creating our own dataset from matching books and utilizing web scraping techniques to extract information from upto 100 web pages.

This hackathon was a thrilling roller coaster ride, filled with valuable lessons and challenges that pushed our boundaries. I'm grateful for the opportunity to learn, build, and collaborate closely with my talented teammates.

I want to extend my appreciation to my incredible teammates: LANKADASU NAGA VENKATA YASWANTH, Jaswanth Singh Kumar Lankadasu, Pranav Rangavajhula, Satya Reddy, and Navya Ramani. We made a fantastic team, and I'm eagerly looking forward to future collaborations with you all! ? 

#Hackathon #Teamwork #Innovation #SmartIndiaHackathon2023 #LPU #technology #frontenddevelopment #machinelearning #nlp #sih2023cselpu #cseinlpu #lpu ",
